iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.22,10.35,2.300159215927124,1.4107894897460938,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.030399870978128227,1.0308666652100984,0.12003705386903418,1.1275386304740806,0.25447304397341125,1.289781783482626,0.0,0.0,0.0,85.0,0.0,0.0,18.5,0.0,0.0,0.0
100,30.19,31.06,1.994871735572815,31.60578179359436,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.15356975087387187,1.1659891130453621,0.315062420615717,1.3703448460564276,0.48738476508242085,1.6280529067930383,52.3,38.7,7.4,12.6,6.0,28.5,67.5,30.9,29.8,36.9
200,36.724,37.99,1.8072614669799805,61.14471769332886,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.22020562011232236,1.2463329753683239,0.4461223522767263,1.5622425987795323,0.6783447795623123,1.9706132319456857,49.4,47.5,10.9,17.5,34.2,31.2,53.1,46.3,44.2,45.6
300,41.152,41.85,1.8511731624603271,90.5964686870575,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.2724373781489344,1.313161223751077,0.5490413107535855,1.731592163086865,0.830189431131141,2.293753207376717,49.2,55.6,18.6,19.3,39.7,37.1,54.3,48.5,48.6,47.6
400,42.73,43.08,1.8461294174194336,120.03831338882446,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.3170740504541466,1.3731042471539563,0.6371227093874761,1.8910319954444714,0.9604442601894335,2.6128570039628145,49.3,56.6,19.8,15.2,30.2,44.6,61.8,51.0,56.9,45.4
500,45.704,45.43,1.6042201519012451,149.16364908218384,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.3568032919382535,1.42875479462354,0.7156185096783396,2.045451422592616,1.0767236255611417,2.935047466028791,51.3,59.1,29.7,29.9,32.9,41.2,51.2,51.3,59.3,48.4
600,47.076,46.97,1.5455918312072754,178.5198152065277,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.39301368461494524,1.4814386621082074,0.7872522098769978,2.1973502659128674,1.1829803563725645,3.264087865682212,52.1,64.1,32.9,24.3,31.0,43.4,56.7,54.9,58.8,51.5
700,48.724,48.57,1.308293104171753,207.58757710456848,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.42654419971427526,1.5319542373859862,0.8536537217342952,2.3482109062879446,1.2815996935717986,3.602397851408866,54.1,63.6,32.2,23.2,37.7,49.0,57.3,54.0,60.1,54.5
800,49.508,49.84,1.4565465450286865,236.58675932884216,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.45794246104734254,1.580818041830069,0.9158946545001568,2.4990100026357247,1.3741383946635486,3.951670475341303,55.6,65.8,28.1,29.8,37.6,41.1,63.7,58.6,60.3,57.8
900,50.596,50.32,1.4052064418792725,265.8862233161926,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.4875876629240894,1.6283832687276774,0.9747180116583244,2.6504197181343647,1.4616840063734802,4.313216900650411,52.7,68.5,33.6,25.0,36.3,51.5,57.5,58.0,66.9,53.2
1000,51.558,51.38,1.5796630382537842,295.0329656600952,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.5157580974685784,1.6749077639604855,1.0306761747146234,2.8029604850756487,1.5450378564792733,4.688149100481984,51.7,67.7,31.1,26.4,35.4,51.0,62.9,61.0,68.2,58.4
1100,52.464,52.71,1.6178417205810547,323.9400839805603,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.5426682219671345,1.7205916633037348,1.0841699813956918,2.9569844477743628,1.624803208238028,5.077419744479233,54.4,74.4,36.2,29.4,31.6,51.6,64.2,59.5,69.2,56.6
1200,54.082,54.0,1.440279245376587,353.24494671821594,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.5684839717190849,1.7655883395900567,1.1355376831965525,3.112846818446464,1.7014533933193774,5.481908974551131,54.2,68.7,35.3,32.9,45.4,54.0,62.6,59.7,65.2,62.0
1300,55.182,54.35,1.2806898355484009,382.2960388660431,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.5933359602120521,1.8100164981063047,1.1850222285077325,3.2707595247612935,1.775352244461492,5.902359843755628,55.9,73.9,36.6,32.9,41.1,51.9,62.6,60.1,68.7,59.8
1400,54.378,54.16,1.3509238958358765,411.31132984161377,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.6173310152527602,1.853973206387875,1.2328428245671035,3.4309693293671906,1.846818102495933,6.339615389523201,60.6,70.1,31.8,34.8,43.2,47.7,67.4,60.8,64.2,61.0
1500,55.074,54.9,1.2240828275680542,440.55522894859314,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.6405581764220669,1.8975397457063181,1.2791627333838917,3.5936296394950276,1.9161049484674755,6.794442159272817,56.7,74.7,38.3,30.1,34.6,52.1,67.7,61.7,72.1,61.0
1600,56.492,56.13,1.4361878633499146,469.3638129234314,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.6630911252949132,1.9407822729831217,1.3241360332262913,3.7589363555725317,1.9834121152301705,7.2674982687310985,56.6,72.4,40.1,33.6,46.4,50.2,63.9,63.6,68.3,66.2
1700,57.278,56.37,1.3041404485702515,498.76081705093384,clipping,rdp,0,CIFAR10,1024,"[0.34, 0.43, 0.23]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.2799560546875,"[0.733044146825397, 1.338602355072464, 1.8542245922208282]",SGD,0.5,0.2,70,,0.6849930721418402,1.9837580922948677,1.3678791276552333,3.927013163559172,2.0489188274854584,7.759507203581074,57.2,75.2,38.5,30.6,41.6,54.3,68.0,62.7,69.6,66.0
