iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.136666666666667,10.09,2.3131916522979736,0.5806875228881836,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.05287750669837266,1.0543004924611208,0.05287750669837266,1.0543004924611208,0.05287750669837266,1.0543004924611208,0.0,0.0,0.0,98.61386138613861,0.0,0.0,0.0,0.7782101167315175,0.0,0.49554013875123887
100,70.39,71.96,1.1979891061782837,6.227431535720825,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.0921335369378498,1.0965112370576102,0.0921335369378498,1.0965112370576102,0.0921335369378498,1.0965112370576102,93.46938775510205,99.11894273127753,68.7015503875969,72.37623762376238,90.63136456211812,2.914798206278027,91.12734864300626,85.60311284046692,60.47227926078029,45.29236868186323
200,79.67833333333333,80.57,0.6217237114906311,12.32766842842102,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1292666162782325,1.1379934913119312,0.1292666162782325,1.1379934913119312,0.1292666162782325,1.1379934913119312,95.81632653061224,98.41409691629956,86.62790697674419,80.89108910891089,91.75152749490834,23.318385650224215,95.92901878914405,89.6887159533074,71.7659137577002,63.52824578790882
300,86.28166666666667,86.64,0.49280476570129395,18.27837085723877,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1596162688726889,1.1730606447308127,0.1596162688726889,1.1730606447308127,0.1596162688726889,1.1730606447308127,96.12244897959184,98.14977973568281,88.95348837209302,90.5940594059406,91.95519348268839,59.19282511210762,96.24217118997912,89.00778210116732,73.10061601642711,78.79088206144698
400,88.85833333333333,89.85,0.38851743936538696,24.586859226226807,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.1855403378344824,1.2038687602545053,0.1855403378344824,1.2038687602545053,0.1855403378344824,1.2038687602545053,96.22448979591837,98.14977973568281,89.92248062015504,92.17821782178218,91.85336048879837,73.54260089686099,96.65970772442589,88.42412451361868,82.75154004106776,86.22398414271557
500,91.49333333333334,91.98,0.2338302582502365,30.981809854507446,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.20860152594982942,1.2319539990118582,0.20860152594982942,1.2319539990118582,0.20860152594982942,1.2319539990118582,96.0204081632653,98.14977973568281,90.79457364341086,91.68316831683168,92.76985743380855,87.4439461883408,97.18162839248434,88.52140077821012,86.96098562628337,89.29633300297324
600,92.62,93.1,0.3637324571609497,37.14915633201599,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.22961135266375288,1.258110953429627,0.22961135266375288,1.258110953429627,0.22961135266375288,1.258110953429627,97.34693877551021,97.97356828193833,90.69767441860465,92.97029702970298,92.87169042769857,91.92825112107623,96.86847599164926,89.88326848249027,89.3223819301848,90.68384539147671
700,93.455,93.46,0.20761969685554504,43.101701736450195,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.24905680223710844,1.2828148977563418,0.24905680223710844,1.2828148977563418,0.24905680223710844,1.2828148977563418,97.24489795918367,97.97356828193833,90.69767441860465,92.87128712871286,92.9735234215886,93.38565022421524,96.97286012526096,90.07782101167315,91.06776180698152,91.0802775024777
800,92.965,94.14,0.29795658588409424,49.4463255405426,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.2672571815261537,1.306376379001847,0.2672571815261537,1.306376379001847,0.2672571815261537,1.306376379001847,97.65306122448979,98.14977973568281,91.86046511627907,92.97029702970298,94.60285132382892,93.94618834080717,96.97286012526096,91.05058365758755,91.9917864476386,91.97224975222993
900,93.135,94.58,0.2539011538028717,55.68103289604187,standard,rdp,0,MNIST,512,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,3.42529296875,None,SGD,0.5,0.6,80,,0.2844337930275355,1.3290093207036362,0.2844337930275355,1.3290093207036362,0.2844337930275355,1.3290093207036362,97.44897959183673,98.14977973568281,92.82945736434108,94.45544554455445,95.21384928716904,93.94618834080717,97.28601252609603,92.02334630350195,93.01848049281314,91.17938553022795
