iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.224,10.35,2.3001596927642822,1.003237009048462,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.030399870978128234,1.0308666652100984,0.12003705386903418,1.1275386304740806,0.25447304397341125,1.289781783482626,0.0,0.0,0.0,81.8,0.0,0.0,21.7,0.0,0.0,0.0
100,29.404,30.0,2.0057640075683594,34.56803798675537,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.15356975087387187,1.1659891130453621,0.315062420615717,1.3703448460564276,0.48738476508242085,1.6280529067930383,51.0,36.1,6.4,11.8,0.8,26.7,70.3,28.1,29.4,39.4
200,35.974,37.28,1.8406682014465332,67.61733150482178,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.22020562011232236,1.2463329753683239,0.4461223522767263,1.5622425987795323,0.6783447795623123,1.9706132319456857,48.0,47.3,10.7,14.9,33.1,33.3,54.8,41.2,44.1,45.4
300,41.72,42.42,1.854751467704773,99.61470317840576,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.2724373781489344,1.313161223751077,0.5490413107535855,1.731592163086865,0.830189431131141,2.293753207376717,50.7,53.8,22.2,17.5,36.3,39.7,55.0,48.0,50.1,50.9
400,43.57,44.56,1.8403931856155396,131.47240161895752,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.3170740504541466,1.3731042471539563,0.6371227093874761,1.8910319954444714,0.9604442601894335,2.6128570039628145,49.2,59.4,21.3,23.7,31.5,42.1,58.8,52.1,56.8,50.7
500,45.872,45.99,1.6537216901779175,163.7099003791809,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.3568032919382535,1.42875479462354,0.7156185096783396,2.045451422592616,1.0767236255611417,2.935047466028791,50.5,64.2,27.1,34.7,30.9,41.3,53.1,52.1,59.3,46.7
600,46.75,46.91,1.520702838897705,196.45895862579346,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.39301368461494524,1.4814386621082074,0.7872522098769978,2.1973502659128674,1.1829803563725645,3.264087865682212,49.5,63.8,27.4,28.7,38.0,42.2,54.1,53.5,58.7,53.2
700,48.23,48.09,1.3109424114227295,227.9841821193695,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.42654419971427526,1.5319542373859862,0.8536537217342952,2.3482109062879446,1.2815996935717986,3.602397851408866,53.1,64.4,24.8,27.6,36.3,46.8,58.2,57.1,57.9,54.7
800,49.064,49.02,1.4351307153701782,259.98606395721436,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.45794246104734254,1.580818041830069,0.9158946545001568,2.4990100026357247,1.3741383946635486,3.951670475341303,53.0,63.1,22.9,31.1,38.6,42.3,63.5,57.8,60.9,57.0
900,49.012,48.48,1.5323224067687988,291.8576662540436,clipping,rdp,0,CIFAR10,1024,"[0.33332, 0.33332, 0.33336]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.1,3.1876130859375,"[0.7124062261904763, 1.3009157173913044, 1.802021269761606]",SGD,0.5,0.2,70,,0.4875876629240894,1.6283832687276774,0.9747180116583244,2.6504197181343647,1.4616840063734802,4.313216900650411,48.6,69.7,30.7,32.8,38.1,43.7,53.0,54.1,63.8,50.3
