iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.131666666666666,10.03,2.3114612102508545,1.1800072193145752,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.11278278983937459,1.119388763926936,0.1322870483806513,1.1414359195787485,0.14697632087367404,1.158326534544777,0.0,0.0,0.0,98.01980198019803,0.0,0.0,0.0,0.6809338521400778,0.0,0.5946481665014867
100,71.22,72.68,1.132417917251587,8.770655632019043,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.13451377376250317,1.1439804158084355,0.19907750924329615,1.2202765449460609,0.2764836485834066,1.3184853934375562,93.87755102040816,98.94273127753304,71.31782945736434,73.56435643564356,90.73319755600815,3.6995515695067263,91.44050104384134,85.7976653696498,58.72689938398357,48.761149653121905
200,80.28,81.16,0.6811741590499878,16.702314376831055,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.15432213733126007,1.1668667175709597,0.26224895979245566,1.2998501125639812,0.38829650848922087,1.4744669114353,96.12244897959184,98.41409691629956,87.01550387596899,83.26732673267327,91.95519348268839,26.345291479820627,95.82463465553236,89.49416342412451,71.45790554414785,64.02378592666005
300,86.645,86.97,0.3981064260005951,24.485527515411377,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.1739698696273867,1.1900197095429181,0.3215389792185792,1.379248767017498,0.4769460885215345,1.6111465824185593,96.0204081632653,98.06167400881057,89.24418604651163,90.39603960396039,92.15885947046843,58.74439461883408,96.65970772442589,88.91050583657588,74.94866529774127,80.2775024777007
400,89.16833333333334,90.13,0.37365323305130005,32.22475337982178,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.19344317707550898,1.2134204344947646,0.3726476258721802,1.4515727530202778,0.5527889877977742,1.7380937866694357,96.0204081632653,97.97356828193833,90.21317829457364,91.88118811881188,92.26069246435846,76.79372197309416,96.65970772442589,88.52140077821012,82.54620123203286,86.22398414271557
500,91.13166666666666,92.01,0.2306351363658905,39.94362950325012,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.2129109220682946,1.2372744324872462,0.4181387018329198,1.5191313660951635,0.6203566251831737,1.8595911006244739,96.12244897959184,97.79735682819383,90.69767441860465,91.68316831683168,93.48268839103869,88.2286995515695,97.18162839248434,88.91050583657588,85.83162217659138,89.29633300297324
600,92.65333333333334,93.09,0.270565390586853,47.682661056518555,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.23221896479488824,1.2613958998858479,0.45961104070848985,1.5834579645107905,0.6819935391107086,1.97781665958777,96.93877551020408,97.88546255506608,91.37596899224806,92.17821782178218,93.68635437881873,92.152466367713,97.39039665970772,89.78599221789884,88.70636550308008,90.38652130822597
700,93.465,93.7,0.2767939567565918,55.264671325683594,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.25133106319799375,1.2857356736427197,0.4980180500740822,1.6454568237535931,0.7391117210463258,2.0940745657317543,97.14285714285714,97.97356828193833,91.47286821705427,93.26732673267327,93.48268839103869,93.94618834080717,96.97286012526096,90.75875486381322,90.14373716632444,91.57581764122894
800,93.315,94.3,0.3874399960041046,62.79902124404907,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.26947984821300175,1.3092832475631762,0.5339808672078611,1.7057090121633947,0.7926348985106573,2.2092098076895317,97.34693877551021,98.14977973568281,92.15116279069767,93.76237623762377,94.5010183299389,93.94618834080717,97.28601252609603,91.43968871595331,92.60780287474333,91.57581764122894
900,93.22166666666666,94.7,0.30458056926727295,73.46619415283203,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.28660670549506273,1.331900281390829,0.5679432497104073,1.7646339051816757,0.8432029159460553,2.3237979996260223,97.34693877551021,98.06167400881057,93.4108527131783,94.35643564356435,94.80651731160896,94.17040358744394,97.49478079331942,92.02334630350195,93.42915811088295,91.67492566897918
1000,93.90333333333334,94.86,0.23247942328453064,80.97166442871094,sampling,rdp,0,MNIST,512,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",0.2,2.3763695068359376,"[0.005722046841217041, 0.01077270597039795, 0.015515137563598635]",SGD,0.5,0.6,80,,0.30287729475897224,1.3537483422338392,0.6002189656854311,1.8225178255673897,0.8912941641734355,2.438283148973967,97.55102040816327,98.23788546255507,93.02325581395348,94.75247524752476,94.60285132382892,94.39461883408072,96.86847599164926,91.92607003891051,94.25051334702259,92.76511397423191
