iteration,train_accuracy,test_accuracy,loss,time,individualize,accountant,seed,dataset_name,batch_size,ratios,budgets,linear_budgets,max_grad_norm,noise_multiplier,weights,optimizer,momentum,learning_rate,epochs,class_budgets,epsilon_0,linear_epsilon_0,epsilon_1,linear_epsilon_1,epsilon_2,linear_epsilon_2,accuracy_0,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
0,10.28,10.2,2.3034846782684326,1.4093289375305176,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.07429564087467844,1.0771252006650505,0.09238501742984911,1.0967870229189167,0.10831122509374363,1.1143945189599802,0.0,0.0,0.0,76.2,0.0,0.0,25.8,0.0,0.0,0.0
100,28.072,28.73,1.9857147932052612,30.49360489845276,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.17051527821382403,1.1859157704701377,0.3380680443577087,1.4022359144013452,0.501385894081372,1.6510078078341843,53.1,30.9,4.4,12.1,0.9,25.7,67.6,31.2,27.5,33.9
200,33.016,33.96,1.903881311416626,58.472071409225464,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.24259307340549216,1.2745498703399958,0.4806782516047622,1.6171708790511563,0.7132749955802901,2.0406634908309864,44.6,38.8,8.4,16.4,19.9,30.6,56.0,41.7,43.4,39.8
300,37.426,38.0,1.6402896642684937,86.12838411331177,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.29909272339475235,1.3486346676602265,0.5926796933933905,1.808829034026623,0.8800446363980432,2.4110073226979316,50.6,46.2,12.8,14.9,37.2,33.7,48.9,43.7,45.3,46.7
400,39.73,40.9,1.4853888750076294,114.12874054908752,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.34737877992013755,1.4153527310443583,0.6885618191216069,1.9908502705630828,1.0230528066792572,2.781673727195337,49.7,55.3,16.2,14.1,33.9,40.1,56.1,47.8,50.3,45.5
500,42.446,42.78,1.5975276231765747,141.84078669548035,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.39035499407384333,1.4775052063878098,0.7740280481843811,2.168483441161067,1.1507257432321238,3.160485778736174,49.2,55.9,21.1,26.0,36.8,39.9,53.3,47.7,52.2,45.7
600,43.55,44.3,1.6664190292358398,169.758873462677,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.42952905075912795,1.5365337237344057,0.8520387999330642,2.3444217896884862,1.267422807715148,3.551687375901101,51.5,57.7,26.2,24.6,35.6,38.1,55.3,51.4,53.6,49.0
700,45.332,45.4,1.469720721244812,197.19703149795532,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.46580657507155443,1.5932987858377146,0.9243691860715999,2.5202779323871773,1.3757570778712604,3.958072157732269,53.5,59.1,28.8,23.7,32.8,43.1,55.4,51.1,56.9,49.6
800,46.26,46.43,1.5931134223937988,224.6623888015747,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.49977228310766275,1.6483458717599961,0.9921809405095908,2.697110299716751,1.4774430541585468,4.381727504974376,51.0,62.4,23.6,24.9,33.8,40.6,63.2,55.0,57.1,52.7
900,47.374,47.8,1.3566935062408447,252.56873965263367,sampling,rdp,0,CIFAR10,1024,"[0.54, 0.37, 0.09]","[1.0, 2.0, 3.0]","[2.718281828459045, 7.38905609893065, 20.085536923187668]",1.8,3.1404914550781253,"[0.013769532112304687, 0.025927735115722658, 0.03735351625146485]",SGD,0.5,0.1,60,,0.5318457253770356,1.7020709667538791,1.0562880834930062,2.875676881244541,1.5736659636375936,4.824301529745451,54.9,64.3,28.9,27.4,34.4,50.6,54.0,54.1,58.5,50.9
